0;167965a7c2104e1fa3b399440abc763d;chapter;;;;Design Patterns for SaaS;/167965a7c2104e1fa3b399440abc763d;;
0;2a5c2da605df4ac09265ff845bfa9a88;sequential;;;;2a5c2da605df4ac09265ff845bfa9a88;/167965a7c2104e1fa3b399440abc763d/2a5c2da605df4ac09265ff845bfa9a88;;
0;a68701d3535c447aa5b5dc761d861c1b;vertical;;;;Lecture Video;/167965a7c2104e1fa3b399440abc763d/2a5c2da605df4ac09265ff845bfa9a88/a68701d3535c447aa5b5dc761d861c1b;;
0;67957c2024f84ac9b56aad2d16c667ca;vertical;;;;Peer-Learning Question;/167965a7c2104e1fa3b399440abc763d/2a5c2da605df4ac09265ff845bfa9a88/67957c2024f84ac9b56aad2d16c667ca;;
0;ce0aed7d820d44feb8c129c1e3e98a0f;vertical;;;;Peer-Learning Question Video;/167965a7c2104e1fa3b399440abc763d/2a5c2da605df4ac09265ff845bfa9a88/ce0aed7d820d44feb8c129c1e3e98a0f;;
0;9b33d666084c48618340e5e62e63e930;sequential;;;;9b33d666084c48618340e5e62e63e930;/167965a7c2104e1fa3b399440abc763d/9b33d666084c48618340e5e62e63e930;;
0;7a6049377fc94c748de9681ee3eed177;vertical;;;;Lecture Video;/167965a7c2104e1fa3b399440abc763d/9b33d666084c48618340e5e62e63e930/7a6049377fc94c748de9681ee3eed177;;
0;e2112b9343294e5c960db57e8df408b4;vertical;;;;Peer-Learning Question;/167965a7c2104e1fa3b399440abc763d/9b33d666084c48618340e5e62e63e930/e2112b9343294e5c960db57e8df408b4;;
0;db225798322c4e0a9a6f7aa27da64a25;vertical;;;;Peer-Learning Question Video;/167965a7c2104e1fa3b399440abc763d/9b33d666084c48618340e5e62e63e930/db225798322c4e0a9a6f7aa27da64a25;;
0;511164bac2e14caf9aaa3ec34eed72bf;sequential;;;;511164bac2e14caf9aaa3ec34eed72bf;/167965a7c2104e1fa3b399440abc763d/511164bac2e14caf9aaa3ec34eed72bf;;
0;a916170c3a7e45ac9550819149a3701d;vertical;;;;Lecture Video;/167965a7c2104e1fa3b399440abc763d/511164bac2e14caf9aaa3ec34eed72bf/a916170c3a7e45ac9550819149a3701d;;
0;bdc9ce7d09c246b8bbd5a28812609015;vertical;;;;Peer-Learning Question;/167965a7c2104e1fa3b399440abc763d/511164bac2e14caf9aaa3ec34eed72bf/bdc9ce7d09c246b8bbd5a28812609015;;
0;739b064c93334caeb593e82af210bf94;vertical;;;;Peer-Learning Question Video;/167965a7c2104e1fa3b399440abc763d/511164bac2e14caf9aaa3ec34eed72bf/739b064c93334caeb593e82af210bf94;;
0;439befe5ead24c3fa1fa8ecf06fa39b8;sequential;;;;439befe5ead24c3fa1fa8ecf06fa39b8;/167965a7c2104e1fa3b399440abc763d/439befe5ead24c3fa1fa8ecf06fa39b8;;
0;3b3ce8ed591c444d8d584c984cb18b5f;vertical;;;;Lecture Video;/167965a7c2104e1fa3b399440abc763d/439befe5ead24c3fa1fa8ecf06fa39b8/3b3ce8ed591c444d8d584c984cb18b5f;;
0;465969a1a71c42178760a07a3b83e176;vertical;;;;Peer-Learning Question;/167965a7c2104e1fa3b399440abc763d/439befe5ead24c3fa1fa8ecf06fa39b8/465969a1a71c42178760a07a3b83e176;;
0;a5a213779ef14609b1f66bfb939d7b37;vertical;;;;Peer-Learning Question Video;/167965a7c2104e1fa3b399440abc763d/439befe5ead24c3fa1fa8ecf06fa39b8/a5a213779ef14609b1f66bfb939d7b37;;
0;c1746e93356d4d929377bd6acd3a1a47;sequential;;;;c1746e93356d4d929377bd6acd3a1a47;/167965a7c2104e1fa3b399440abc763d/c1746e93356d4d929377bd6acd3a1a47;;
0;e8839d729f0f4515b94b34f09406283b;vertical;;;;Lecture Video;/167965a7c2104e1fa3b399440abc763d/c1746e93356d4d929377bd6acd3a1a47/e8839d729f0f4515b94b34f09406283b;;
0;78ba692921c9465e919c8b85a7412c57;vertical;;;;Peer-Learning Question;/167965a7c2104e1fa3b399440abc763d/c1746e93356d4d929377bd6acd3a1a47/78ba692921c9465e919c8b85a7412c57;;
0;935d61fd9ed04fcf82bf316bc926d127;vertical;;;;Peer-Learning Question Video;/167965a7c2104e1fa3b399440abc763d/c1746e93356d4d929377bd6acd3a1a47/935d61fd9ed04fcf82bf316bc926d127;;
0;104501c0d4524785ad9ea1e47f4d1017;sequential;;;;104501c0d4524785ad9ea1e47f4d1017;/167965a7c2104e1fa3b399440abc763d/104501c0d4524785ad9ea1e47f4d1017;;
0;70871889ebd949a1825334065cb1d1b9;vertical;;;;Lecture Video;/167965a7c2104e1fa3b399440abc763d/104501c0d4524785ad9ea1e47f4d1017/70871889ebd949a1825334065cb1d1b9;;
0;86f406ccc6b842d8a4c3d04bded9cf47;vertical;;;;Peer-Learning Question;/167965a7c2104e1fa3b399440abc763d/104501c0d4524785ad9ea1e47f4d1017/86f406ccc6b842d8a4c3d04bded9cf47;;
0;2bfa1e6ae56a40eab39e50b9b2f6ed0b;vertical;;;;Peer-Learning Question Video;/167965a7c2104e1fa3b399440abc763d/104501c0d4524785ad9ea1e47f4d1017/2bfa1e6ae56a40eab39e50b9b2f6ed0b;;
0;1a45d849cc674854b208fac05247a2ac;sequential;;;;1a45d849cc674854b208fac05247a2ac;/167965a7c2104e1fa3b399440abc763d/1a45d849cc674854b208fac05247a2ac;;
0;a9c44daf884b4e7c8bbd4adebe75a5e9;vertical;;;;Lecture Video;/167965a7c2104e1fa3b399440abc763d/1a45d849cc674854b208fac05247a2ac/a9c44daf884b4e7c8bbd4adebe75a5e9;;
0;2f5f9b08c1eb486b8b1b33c3da027d48;vertical;;;;Peer-Learning Question;/167965a7c2104e1fa3b399440abc763d/1a45d849cc674854b208fac05247a2ac/2f5f9b08c1eb486b8b1b33c3da027d48;;
0;73e3fa64364c4a60913a9012591efe18;vertical;;;;Peer-Learning Question Video;/167965a7c2104e1fa3b399440abc763d/1a45d849cc674854b208fac05247a2ac/73e3fa64364c4a60913a9012591efe18;;
0;f0f696ec03eb42fbb7ab37c27f05241b;sequential;;;;f0f696ec03eb42fbb7ab37c27f05241b;/167965a7c2104e1fa3b399440abc763d/f0f696ec03eb42fbb7ab37c27f05241b;;
0;0fe00ee9b86349aa88a5b7997a100d20;vertical;;;;Lecture Video;/167965a7c2104e1fa3b399440abc763d/f0f696ec03eb42fbb7ab37c27f05241b/0fe00ee9b86349aa88a5b7997a100d20;;
0;c7e6488b90fe4afc8109697f4cee0cd7;vertical;;;;Peer-Learning Question;/167965a7c2104e1fa3b399440abc763d/f0f696ec03eb42fbb7ab37c27f05241b/c7e6488b90fe4afc8109697f4cee0cd7;;
0;e4cfe0f946774ff1817474acae3bb634;vertical;;;;Peer-Learning Question Video;/167965a7c2104e1fa3b399440abc763d/f0f696ec03eb42fbb7ab37c27f05241b/e4cfe0f946774ff1817474acae3bb634;;
0;780d21aa832e4adf84a42d5a3506732b;sequential;;;;780d21aa832e4adf84a42d5a3506732b;/167965a7c2104e1fa3b399440abc763d/780d21aa832e4adf84a42d5a3506732b;;
0;ebaf9858b8ce44b7bab0971cee9e23f7;vertical;;;;Lecture Video;/167965a7c2104e1fa3b399440abc763d/780d21aa832e4adf84a42d5a3506732b/ebaf9858b8ce44b7bab0971cee9e23f7;;
0;68d60571dc274266b831dcf0b27b3fc0;vertical;;;;Peer-Learning Question;/167965a7c2104e1fa3b399440abc763d/780d21aa832e4adf84a42d5a3506732b/68d60571dc274266b831dcf0b27b3fc0;;
